ticker,company,sector,employees,year,revenue,net_income,gross_profit,capex,operating_cf,net_margin,capex_to_revenue
ABX.TO,Barrick Mining Corporation,Basic Materials,,2022,11013000000.0,432000000.0,3516000000.0,-3049000000.0,3481000000.0,0.0392263688368292,0.2768546263506765
ABX.TO,Barrick Mining Corporation,Basic Materials,,2023,11397000000.0,1272000000.0,3465000000.0,-3086000000.0,3732000000.0,0.11160831797841538,0.2707730104413442
ABX.TO,Barrick Mining Corporation,Basic Materials,,2024,12922000000.0,2144000000.0,4961000000.0,-3174000000.0,4491000000.0,0.16591858845379973,0.24562761182479492
ABX.TO,Barrick Mining Corporation,Basic Materials,,2025,16956000000.0,4993000000.0,8691000000.0,-3821000000.0,7689000000.0,0.2944680349138948,0.22534795942439254
AGI.TO,Alamos Gold Inc.,Basic Materials,2400.0,2022,821200000.0,37100000.0,212300000.0,-313700000.0,298500000.0,0.045177788602045785,0.3820019483682416
AGI.TO,Alamos Gold Inc.,Basic Materials,2400.0,2023,1023300000.0,210000000.0,385600000.0,-348900000.0,472700000.0,0.20521841102316035,0.3409557314570507
AGI.TO,Alamos Gold Inc.,Basic Materials,2400.0,2024,1346900000.0,284300000.0,595800000.0,-425300000.0,661100000.0,0.21107728858861088,0.3157621204246789
AGI.TO,Alamos Gold Inc.,Basic Materials,2400.0,2025,1808800000.0,885800000.0,999300000.0,-524200000.0,795300000.0,0.4897169394073419,0.28980539584254755
AP-UN.TO,Allied Properties Real Estate Investment Trust,Real Estate,350.0,2022,519468000.0,368855000.0,295208000.0,-859000.0,321193000.0,0.7100629875179992,0.001653614852117936
AP-UN.TO,Allied Properties Real Estate Investment Trust,Real Estate,350.0,2023,563980000.0,-425713000.0,317031000.0,-1836000.0,320886000.0,-0.7548370509592539,0.0032554345898790737
AP-UN.TO,Allied Properties Real Estate Investment Trust,Real Estate,350.0,2024,592040000.0,-342530000.0,328474000.0,-958000.0,147837000.0,-0.5785588811566786,0.0016181339098709547
AP-UN.TO,Allied Properties Real Estate Investment Trust,Real Estate,350.0,2025,592379000.0,-1327532000.0,316964000.0,-815000.0,255288000.0,-2.2410179969242665,0.0013758083929376295
