ticker,company,sector,year,revenue,net_income,gross_profit,capex,operating_cf,net_margin,capex_to_revenue,sentiment_score,sentiment_pos,sentiment_neg,sentiment_neu,gdp_level_q4,gdp_yoy,cpi_yoy_annual
ARX.TO,ARC Resources Ltd.,Energy,2022,9850400000.0,2302300000.0,5544200000.0,-1428800000.0,3833300000.0,0.2337265491756679,0.1450499472102655,0.1367,0.2023,0.0657,0.732,594557.3,3.0775165306879737,6.798089916666667
ARX.TO,ARC Resources Ltd.,Energy,2023,6361900000.0,1596500000.0,3173000000.0,-1838300000.0,2394300000.0,0.250947044122039,0.2889545576007167,,,,,602387.8,1.31703033500723,3.8944715
ARX.TO,ARC Resources Ltd.,Energy,2024,5623900000.0,1124100000.0,2726900000.0,-1832900000.0,2348600000.0,0.1998790874659933,0.3259126229129252,,,,,621065.3,3.100577402131988,2.3854825
ARX.TO,ARC Resources Ltd.,Energy,2025,6612500000.0,1275100000.0,3363600000.0,-1890500000.0,3093500000.0,0.1928317580340264,0.2858979206049149,,,,,,,
AGI.TO,Alamos Gold Inc.,Basic Materials,2022,821200000.0,37100000.0,212300000.0,-313700000.0,298500000.0,0.0451777886020457,0.3820019483682416,,,,,594557.3,3.0775165306879737,6.798089916666667
AGI.TO,Alamos Gold Inc.,Basic Materials,2023,1023300000.0,210000000.0,385600000.0,-348900000.0,472700000.0,0.2052184110231603,0.3409557314570507,,,,,602387.8,1.31703033500723,3.8944715
AGI.TO,Alamos Gold Inc.,Basic Materials,2024,1346900000.0,284300000.0,595800000.0,-425300000.0,661100000.0,0.2110772885886108,0.3157621204246789,,,,,621065.3,3.100577402131988,2.3854825
AGI.TO,Alamos Gold Inc.,Basic Materials,2025,1808800000.0,885800000.0,999300000.0,-524200000.0,795300000.0,0.4897169394073419,0.2898053958425475,,,,,,,
ATD.TO,Alimentation Couche-Tard Inc.,Consumer Cyclical,2022,62809900000.0,2683300000.0,11004800000.0,-1664500000.0,3944900000.0,0.0427209723307949,0.0265005994277972,,,,,594557.3,3.0775165306879737,6.798089916666667
ATD.TO,Alimentation Couche-Tard Inc.,Consumer Cyclical,2023,71856700000.0,3090900000.0,12052100000.0,-1803800000.0,4344600000.0,0.0430147780234828,0.0251027392017724,0.0906,0.1654,0.0748,0.7597,602387.8,1.31703033500723,3.8944715
ATD.TO,Alimentation Couche-Tard Inc.,Consumer Cyclical,2024,69263500000.0,2729700000.0,12097900000.0,-1943100000.0,4817200000.0,0.0394103676539591,0.0280537368166494,,,,,621065.3,3.100577402131988,2.3854825
ATD.TO,Alimentation Couche-Tard Inc.,Consumer Cyclical,2025,72856800000.0,2580400000.0,13021300000.0,-2326600000.0,5037100000.0,0.0354174215721799,0.0319338757672585,,,,,,,
AP-UN.TO,Allied Properties Real Estate Investment Trust,Real Estate,2022,519468000.0,368855000.0,295208000.0,-859000.0,321193000.0,0.7100629875179992,0.0016536148521179,0.1532,0.1879,0.0347,0.7774,594557.3,3.0775165306879737,6.798089916666667
AP-UN.TO,Allied Properties Real Estate Investment Trust,Real Estate,2023,563980000.0,-425713000.0,317031000.0,-1836000.0,320886000.0,-0.7548370509592539,0.003255434589879,,,,,602387.8,1.31703033500723,3.8944715
AP-UN.TO,Allied Properties Real Estate Investment Trust,Real Estate,2024,592040000.0,-342530000.0,328474000.0,-958000.0,147837000.0,-0.5785588811566786,0.0016181339098709,,,,,621065.3,3.100577402131988,2.3854825
AP-UN.TO,Allied Properties Real Estate Investment Trust,Real Estate,2025,592379000.0,-1327532000.0,316964000.0,-815000.0,255288000.0,-2.2410179969242665,0.0013758083929376,,,,,,,
BMO.TO,Bank of Montreal,Financial Services,2022,26259000000.0,13537000000.0,,-1448000000.0,4957000000.0,0.5155184888990442,0.0551429985909592,,,,,594557.3,3.0775165306879737,6.798089916666667
BMO.TO,Bank of Montreal,Financial Services,2023,31115000000.0,4425000000.0,,-1677000000.0,9591000000.0,0.1422143660613851,0.0538968343242808,,,,,602387.8,1.31703033500723,3.8944715
BMO.TO,Bank of Montreal,Financial Services,2024,32041000000.0,7318000000.0,,-1564000000.0,26703000000.0,0.2283948690739989,0.048812459036859,,,,,621065.3,3.100577402131988,2.3854825
BMO.TO,Bank of Montreal,Financial Services,2025,36099000000.0,8709000000.0,,-1729000000.0,10240000000.0,0.2412532203108119,0.0478960636028698,,,,,,,
ABX.TO,Barrick Mining Corporation,Basic Materials,2022,11013000000.0,432000000.0,3516000000.0,-3049000000.0,3481000000.0,0.0392263688368292,0.2768546263506765,,,,,594557.3,3.0775165306879737,6.798089916666667
ABX.TO,Barrick Mining Corporation,Basic Materials,2023,11397000000.0,1272000000.0,3465000000.0,-3086000000.0,3732000000.0,0.1116083179784153,0.2707730104413442,,,,,602387.8,1.31703033500723,3.8944715
ABX.TO,Barrick Mining Corporation,Basic Materials,2024,12922000000.0,2144000000.0,4961000000.0,-3174000000.0,4491000000.0,0.1659185884537997,0.2456276118247949,,,,,621065.3,3.100577402131988,2.3854825
ABX.TO,Barrick Mining Corporation,Basic Materials,2025,16956000000.0,4993000000.0,8691000000.0,-3821000000.0,7689000000.0,0.2944680349138948,0.2253479594243925,,,,,,,
BB.TO,BlackBerry Limited,Technology,2022,718000000.0,12000000.0,467000000.0,-39000000.0,-28000000.0,0.0167130919220055,0.0543175487465181,0.1417,0.2927,0.151,0.5564,594557.3,3.0775165306879737,6.798089916666667
BB.TO,BlackBerry Limited,Technology,2023,526300000.0,-734400000.0,366600000.0,-40900000.0,-262200000.0,-1.3954018620558617,0.0777123313699411,0.1417,0.2927,0.151,0.5564,602387.8,1.31703033500723,3.8944715
BB.TO,BlackBerry Limited,Technology,2024,759100000.0,-130200000.0,490700000.0,-20900000.0,-3500000.0,-0.1715189039652219,0.0275326043999473,0.1417,0.2927,0.151,0.5564,621065.3,3.100577402131988,2.3854825
