ticker,company,sector,period,revenue,net_income,capex
ABX.TO,Barrick Mining Corporation,Basic Materials,2024-12-31,3645000000.0,996000000.0,-891000000.0
ABX.TO,Barrick Mining Corporation,Basic Materials,2025-03-31,3130000000.0,474000000.0,-837000000.0
ABX.TO,Barrick Mining Corporation,Basic Materials,2025-06-30,3681000000.0,811000000.0,-934000000.0
ABX.TO,Barrick Mining Corporation,Basic Materials,2025-09-30,4148000000.0,1302000000.0,-943000000.0
ABX.TO,Barrick Mining Corporation,Basic Materials,2025-12-31,5997000000.0,2406000000.0,-1107000000.0
AGI.TO,Alamos Gold Inc.,Basic Materials,2024-12-31,375800000.0,87600000.0,-146400000.0
AGI.TO,Alamos Gold Inc.,Basic Materials,2025-03-31,333000000.0,15200000.0,-101700000.0
AGI.TO,Alamos Gold Inc.,Basic Materials,2025-06-30,438200000.0,159400000.0,-121800000.0
AGI.TO,Alamos Gold Inc.,Basic Materials,2025-09-30,462300000.0,276300000.0,-139300000.0
AGI.TO,Alamos Gold Inc.,Basic Materials,2025-12-31,575300000.0,434900000.0,-161400000.0
AP-UN.TO,Allied Properties Real Estate Investment Trust,Real Estate,2024-09-30,146593000.0,-94177000.0,-98000.0
AP-UN.TO,Allied Properties Real Estate Investment Trust,Real Estate,2024-12-31,155120000.0,-257652000.0,-555000.0
AP-UN.TO,Allied Properties Real Estate Investment Trust,Real Estate,2025-03-31,150636000.0,-107660000.0,-143000.0
AP-UN.TO,Allied Properties Real Estate Investment Trust,Real Estate,2025-06-30,145045000.0,-94740000.0,-165000.0
AP-UN.TO,Allied Properties Real Estate Investment Trust,Real Estate,2025-12-31,148766000.0,-1011743000.0,-230000.0
ARX.TO,ARC Resources Ltd.,Energy,2024-09-30,1337700000.0,328900000.0,
ARX.TO,ARC Resources Ltd.,Energy,2024-12-31,1567400000.0,370300000.0,-350300000.0
ARX.TO,ARC Resources Ltd.,Energy,2025-03-31,1795400000.0,404700000.0,-452600000.0
ARX.TO,ARC Resources Ltd.,Energy,2025-06-30,1536400000.0,396100000.0,-489000000.0
ARX.TO,ARC Resources Ltd.,Energy,2025-12-31,1761100000.0,259900000.0,-452200000.0
ATD.TO,Alimentation Couche-Tard Inc.,Consumer Cyclical,2025-01-31,20903500000.0,641400000.0,-713700000.0
ATD.TO,Alimentation Couche-Tard Inc.,Consumer Cyclical,2025-04-30,16270500000.0,439400000.0,-701300000.0
ATD.TO,Alimentation Couche-Tard Inc.,Consumer Cyclical,2025-07-31,17346900000.0,782500000.0,-416600000.0
ATD.TO,Alimentation Couche-Tard Inc.,Consumer Cyclical,2025-10-31,17866100000.0,740600000.0,-461900000.0
ATD.TO,Alimentation Couche-Tard Inc.,Consumer Cyclical,2026-01-31,21805700000.0,757200000.0,-602300000.0
BAM.TO,Brookfield Asset Management Ltd.,Financial Services,2024-12-31,120000000.0,186000000.0,
BAM.TO,Brookfield Asset Management Ltd.,Financial Services,2025-03-31,1079000000.0,581000000.0,
BAM.TO,Brookfield Asset Management Ltd.,Financial Services,2025-06-30,1153000000.0,620000000.0,
BAM.TO,Brookfield Asset Management Ltd.,Financial Services,2025-09-30,1140000000.0,724000000.0,
