quarter,date,gdp_level,gdp_yoy,gdp_qoq
2018Q1,2018-01-01,544941.3,,
2018Q2,2018-04-01,549192.0,,0.7800289682576844
2018Q3,2018-07-01,551962.3,,0.5044319655056917
2018Q4,2018-10-01,553262.5,,0.23555956629646158
2019Q1,2019-01-01,554594.0,1.7713283981228622,0.24066333792729377
2019Q2,2019-04-01,560665.5,2.0891600751649753,1.0947648189486348
2019Q3,2019-07-01,562233.3,1.8608154941016863,0.27963197307485643
2019Q4,2019-10-01,563838.5,1.911570005196439,0.28550425597344553
2020Q1,2020-01-01,552844.0,-0.3155461472716947,-1.9499377924707129
2020Q2,2020-04-01,492031.5,-12.241523689258571,-10.999938499829975
2020Q3,2020-07-01,536725.3,-4.536906654230544,9.083524123963628
2020Q4,2020-10-01,546807.0,-3.0206344547241804,1.8783724188146111
2021Q1,2021-01-01,556122.3,0.5929882570851808,1.7035809709824656
2021Q2,2021-04-01,555470.5,12.893280206653435,-0.11720443506761935
2021Q3,2021-07-01,566660.5,5.577378223087304,2.0145084212392916
2021Q4,2021-10-01,576806.0,5.486213600045353,1.7904018367258745
2022Q1,2022-01-01,582786.5,4.794664770680823,1.036830407450684
2022Q2,2022-04-01,589416.5,6.111215627112521,1.1376378828267253
2022Q3,2022-07-01,594183.5,4.857052856163424,0.8087659575189976
2022Q4,2022-10-01,594557.3,3.0775165306879737,0.06290985865478049
2023Q1,2023-01-01,600816.0,3.093671524649255,1.0526655715100919
2023Q2,2023-04-01,601774.8,2.0967007201189825,0.15958296716467313
2023Q3,2023-07-01,602076.5,1.3283775130073394,0.050135033903031534
2023Q4,2023-10-01,602387.8,1.3170303350072299,0.051704393046403396
2024Q1,2024-01-01,606777.0,0.9921506750818931,0.7286336144257888
2024Q2,2024-04-01,611728.3,1.6540240634868697,0.8159999472623358
2024Q3,2024-07-01,616739.3,2.435371584840129,0.8191545168010128
2024Q4,2024-10-01,621065.3,3.1005774021319876,0.701430896328481
